timeStamp,latitude,longitude,significant_wave_height_m,average_wave_period_s,peak_wave_period_s,peak_wave_direction_deg,n_samples,sampling_frequency_hz,sample_gaps
2026-07-03 20:20:00,-38.4440233333333,11.5789,2.1145762982047978,7.0286443289654486,7.314285714285714,283.56950288822475,4796,4.0,4
2026-07-03 20:40:00,-38.4335916666667,11.5909883333333,2.3609375778681643,7.559727762599812,9.481481481481481,,4793,4.0,7
2026-07-03 21:00:00,-38.423045,11.6036116666667,2.2190417469996557,7.459137814597866,8.258064516129032,252.61776859922364,4793,4.0,7
2026-07-03 21:20:00,-38.412535,11.6161483333333,2.240183668487862,7.540145201306859,8.827586206896552,229.19099279921986,4796,4.0,4
2026-07-03 21:40:00,-38.401445,11.629245,2.288396783865877,7.8028896525596565,10.24,115.59454728790661,4793,4.0,7
2026-07-03 22:00:00,-38.3904816666667,11.6422633333333,2.161378328573066,7.609109055017567,8.827586206896552,251.05904690682405,4799,4.0,1
2026-07-03 22:20:00,-38.3788683333333,11.6561,2.0155858294531552,7.742736109191124,10.24,116.51551357719825,4796,4.0,4
2026-07-03 22:40:00,-38.36727,11.6698666666667,2.1003491669853354,7.633959485985381,7.757575757575758,,4793,4.0,7
2026-07-03 23:00:00,-38.3553816666667,11.6840733333333,2.0718174409304333,7.657999164872666,8.258064516129032,250.9178986101531,4796,4.0,4
2026-07-03 23:20:00,-38.3431116666667,11.6984416666667,2.0964804920741646,7.627763986568256,10.24,124.26550886641257,4793,4.0,7
2026-07-03 23:40:00,-38.3423816666667,11.7002433333333,2.116953173822528,7.833892409837886,11.130434782608695,99.02708916462251,4796,4.0,4
2026-07-04 00:00:00,-38.3424933333333,11.7001233333333,2.1122533732026665,7.6116469680803265,7.757575757575758,,4799,4.0,1
2026-07-04 00:20:00,-38.3428966666667,11.6995283333333,2.065918453383161,7.863865967963699,11.130434782608695,,4796,4.0,4
2026-07-04 00:40:00,-38.3426466666667,11.69961,1.99538561131411,7.595211177843561,11.130434782608695,113.06451637268651,4796,4.0,4
2026-07-04 01:00:00,-38.3425583333333,11.6997116666667,2.0155717337177284,7.854874386824063,12.19047619047619,,4799,4.0,1
2026-07-04 01:20:00,-38.3428883333333,11.6995416666667,2.1984566459204267,8.059328839733663,10.24,,4796,4.0,4
2026-07-04 01:40:00,-38.34336,11.69886,1.779361923449786,7.074630695861064,8.827586206896552,143.9408583194221,4799,4.0,1
2026-07-04 02:00:00,-38.342705,11.699615,2.2139530554755913,8.012337902739088,11.130434782608695,,4796,4.0,4
2026-07-04 02:20:00,-38.3432083333333,11.698455,2.108108303883432,7.7756696041105045,7.314285714285714,,4796,4.0,4
2026-07-04 02:40:00,-38.3432266666667,11.6992833333333,2.187965757236692,8.014803464225361,12.19047619047619,,4796,4.0,4
2026-07-04 03:00:00,-38.3427283333333,11.6996,2.1622530620062945,7.71269391508743,7.314285714285714,,4799,4.0,1
2026-07-04 03:20:00,-38.3424083333333,11.6990616666667,2.201859432745109,8.25026182898109,11.130434782608695,,4793,4.0,7
2026-07-04 03:40:00,-38.3430166666667,11.6982533333333,2.178196554089665,7.981772586474535,11.130434782608695,,4787,4.0,13
2026-07-04 04:00:00,-38.34341,11.6991766666667,2.2675958646640915,8.016055082730292,11.130434782608695,,4793,4.0,7
2026-07-04 04:20:00,-38.3429483333333,11.6995683333333,1.8626033638515735,7.123635713968029,7.757575757575758,,4787,4.0,13
2026-07-04 04:40:00,-38.34243,11.699005,2.194230295658188,8.106020156107968,12.19047619047619,,4796,4.0,4
2026-07-04 05:00:00,-38.3423483333333,11.6989633333333,1.8734247820679861,6.993378147638937,7.314285714285714,281.92220072856963,4799,4.0,1
2026-07-04 05:20:00,-38.3424183333333,11.69919,2.2244825813756623,7.933620364892787,7.314285714285714,,4799,4.0,1
2026-07-04 05:40:00,-38.3427183333333,11.69934,1.839684765991503,6.907967571911637,7.314285714285714,273.53378835093145,4799,4.0,1
2026-07-04 06:00:00,-38.3429316666667,11.6994866666667,1.9617423342489222,7.2674861188268425,6.918918918918919,294.60750422163255,4799,4.0,1
2026-07-04 06:20:00,-38.3415416666667,11.7003333333333,1.6947830422564996,6.9008469905503445,6.918918918918919,307.5576394914516,4778,4.0,22
2026-07-04 06:40:00,-38.33147,11.711505,2.1194382494918056,7.980317839861515,11.130434782608695,153.55827984441072,4799,4.0,1
2026-07-04 07:00:00,-38.3209316666667,11.723445,2.27546536790824,7.891194927367115,11.130434782608695,,4793,4.0,7
2026-07-04 07:20:00,-38.310285,11.7355266666667,2.2693043251414875,8.11640651313038,11.130434782608695,,4793,4.0,7
2026-07-04 09:20:00,-38.2397816666667,11.8143116666667,2.244544316210409,6.981445620167484,8.258064516129032,282.5665115814649,4799,4.0,1
2026-07-05 15:00:00,-37.7467066666667,11.9027716666667,3.7303164728333584,7.801529257066233,10.24,263.4263376607712,4793,4.0,7
2026-07-05 15:20:00,-37.7469566666667,11.913295,3.6717331868611103,7.9404559634114085,11.130434782608695,259.3230178517806,4799,4.0,1
2026-07-05 15:40:00,-37.7470133333333,11.924575,3.5705891817441224,8.031330289587098,11.130434782608695,256.8934199807475,4799,4.0,1
2026-07-05 16:00:00,-37.7471783333333,11.935695,3.8360500108351916,8.221371051128019,10.24,259.26651715224597,4799,4.0,1
2026-07-05 16:20:00,-37.7472333333333,11.946665,3.470646568099711,7.985338792386592,11.130434782608695,265.6803015296018,4796,4.0,4
2026-07-05 16:40:00,-37.7475283333333,11.95771,3.4620684666628008,7.924482151988205,10.24,255.91902732472226,4796,4.0,4
2026-07-05 17:00:00,-37.747585,11.9686133333333,3.5703582815929513,7.943498638453287,11.130434782608695,253.40931123450534,4793,4.0,7
2026-07-05 17:20:00,-37.7477816666667,11.9792066666667,3.4383102872435916,7.663997925037944,9.481481481481481,266.97899334288206,4796,4.0,4
2026-07-05 17:40:00,-37.74801,11.9907866666667,3.5016279110143578,7.961207575530539,11.130434782608695,255.03187295585647,4793,4.0,7
